Country,Code,Year,GDP
Mauritania,MRT,2016,3407
Mauritius,MUS,2016,18918
Mexico,MEX,2016,16133
Middle East,,2016,18009.99805
Moldova,MDA,2016,6068
Mongolia,MNG,2016,12360
Montenegro,MNE,2016,17741
Morocco,MAR,2016,8039
Mozambique,MOZ,2016,1113
Myanmar,MMR,2016,5284
Namibia,NAM,2016,9376
Nepal,NPL,2016,2435
Netherlands,NLD,2016,45600
New Zealand,NZL,2016,34295
Nicaragua,NIC,2016,5045
Niger,NER,2016,925
Nigeria,NGA,2016,5360
North Korea,PRK,2016,1742.022339
North Macedonia,MKD,2016,12644
Norway,NOR,2016,82814
Oman,OMN,2016,38515
Pakistan,PAK,2016,5223
Palestine,PSE,2016,5321.382813
Panama,PAN,2016,21449
Paraguay,PRY,2016,8786
Peru,PER,2016,11776
Philippines,PHL,2016,7410
Poland,POL,2016,24838
Portugal,PRT,2016,25346
Puerto Rico,PRI,2016,35082
Qatar,QAT,2016,156299
Romania,ROU,2016,17782
Russia,RUS,2016,23635
Rwanda,RWA,2016,1758
Saint Lucia,LCA,2016,10233
Sao Tome and Principe,STP,2016,3624
Saudi Arabia,SAU,2016,51397
Senegal,SEN,2016,2403
Serbia,SRB,2016,13184
Seychelles,SYC,2016,26624
Sierra Leone,SLE,2016,1619
Singapore,SGP,2016,65729
Slovakia,SVK,2016,25364
Slovenia,SVN,2016,26908
South Africa,ZAF,2016,12139
South Korea,KOR,2016,36103
South and South-East Asia,,2016,6991.327637
Spain,ESP,2016,30110
Sri Lanka,LKA,2016,11149
Sub-Sahara Africa,,2016,3491.176514
Sweden,SWE,2016,44659
Switzerland,CHE,2016,59662
Syria,SYR,2016,3091
Taiwan,TWN,2016,42165
Tajikistan,TJK,2016,3991
Tanzania,TZA,2016,2660
Thailand,THA,2016,15454
Togo,TGO,2016,1400
Trinidad and Tobago,TTO,2016,29178
Tunisia,TUN,2016,11073
Turkey,TUR,2016,17906
Turkmenistan,TKM,2016,23813
USSR,OWID_USS,2016,18635
Uganda,UGA,2016,1980
Ukraine,UKR,2016,9214
United Arab Emirates,ARE,2016,75876
United Kingdom,GBR,2016,37334
United States,USA,2016,53015
Uruguay,URY,2016,19468
Uzbekistan,UZB,2016,10381
Venezuela,VEN,2016,15219
Vietnam,VNM,2016,6062
Western Europe,,2016,38511.33203
Western Offshoots,,2016,51667.97656
World,OWID_WRL,2016,14700.37207
Yemen,YEM,2016,2506
Yugoslavia,OWID_YGS,2016,15416
Zambia,ZMB,2016,3479
Zimbabwe,ZWE,2016,1534
